Fecha y Hora del hecho,Fecha del hecho,Dia de la semana,Hora del hecho (HH:MM),Comuna/Corregimiento,Tipo de via de Hechos,Clase de Accidente,Genero,Edad,Características de la victima,Vehiculo de la Victima,Vehiculo 2 de la contraparte,Vehiculo 3 de la contraparte,Vehiculo 4 de la contraparte
01/01/2012 05:05:00 AM,01/01/2012 12:00:00 AM,domingo,1899-12-31T05:05:00.000,8,Municipal,Peatón Atropellado,Masculino,46,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
01/03/2012 08:00:00 PM,01/03/2012 12:00:00 AM,martes,1899-12-31T20:00:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,79,Ciclista,Bicicleta,Motocicleta,No aplica,No aplica
01/16/2012 12:00:00 AM,01/16/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,1,Municipal,Sin Dato,Femenino,73,Peatón,Autónomo (Peatón),Sin dato,No aplica,No aplica
01/22/2012 06:45:00 AM,01/22/2012 12:00:00 AM,domingo,1899-12-31T06:45:00.000,4,Municipal,Colisión con Objeto Fijo,Femenino,23,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
01/25/2012 06:45:00 PM,01/25/2012 12:00:00 AM,miércoles,1899-12-31T18:45:00.000,1,Municipal,Ciclista Atropellado,Femenino,5,Ciclista,Bicicleta,Camión/Camioneta,No aplica,No aplica
01/29/2012 12:00:00 AM,01/29/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,49,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
01/29/2012 12:00:00 AM,01/29/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,6,Municipal,Peatón Atropellado,Femenino,59,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
02/05/2012 03:57:00 AM,02/05/2012 12:00:00 AM,domingo,1899-12-31T03:57:00.000,5,Municipal,Colisión con Objeto Fijo,Masculino,21,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
02/05/2012 03:25:00 AM,02/05/2012 12:00:00 AM,domingo,1899-12-31T03:25:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,25,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
02/10/2012 05:45:00 PM,02/10/2012 12:00:00 AM,viernes,1899-12-31T17:45:00.000,5,Municipal,Colisión con Objeto Móvil,Femenino,40,Pasajero Moto,Motocicleta,Microbus/Busetón,No aplica,No aplica
03/25/2012 07:23:00 AM,03/25/2012 12:00:00 AM,domingo,1899-12-31T07:23:00.000,5,Municipal,Caída de Ocupante,Femenino,43,Pasajero Vehículo,Microbus/Busetón,No aplica,No aplica,No aplica
04/11/2012 12:00:00 AM,04/11/2012 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,2,Municipal,Sin Dato,Femenino,46,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
04/15/2012 10:10:00 PM,04/15/2012 12:00:00 AM,domingo,1899-12-31T22:10:00.000,2,Municipal,Caída de Ocupante,Femenino,42,Pasajero Moto,Motocicleta,No aplica,No aplica,No aplica
04/16/2012 06:00:00 PM,04/16/2012 12:00:00 AM,lunes,1899-12-31T18:00:00.000,6,Municipal,Volcamiento,Masculino,62,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
04/21/2012 07:40:00 PM,04/21/2012 12:00:00 AM,sábado,1899-12-31T19:40:00.000,6,Municipal,Ciclista Atropellado,Masculino,16,Ciclista,Bicicleta,Motocicleta,No aplica,No aplica
04/22/2012 12:00:00 AM,04/22/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,7,Municipal,Peatón Atropellado,Masculino,88,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
04/25/2012 09:20:00 AM,04/25/2012 12:00:00 AM,miércoles,1899-12-31T09:20:00.000,6,Municipal,Volcamiento,Femenino,41,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
05/02/2012 10:22:00 AM,05/02/2012 12:00:00 AM,miércoles,1899-12-31T10:22:00.000,10,Municipal,Colisión con Objeto Móvil,Masculino,24,Conductor Moto,Motocicleta,Microbus/Busetón,No aplica,No aplica
05/05/2012 11:15:00 PM,05/05/2012 12:00:00 AM,sábado,1899-12-31T23:15:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,19,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
05/05/2012 11:15:00 PM,05/05/2012 12:00:00 AM,sábado,1899-12-31T23:15:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,22,Pasajero Moto,Motocicleta,Motocicleta,No aplica,No aplica
05/05/2012 11:15:00 PM,05/05/2012 12:00:00 AM,sábado,1899-12-31T23:15:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,28,Pasajero Moto,Motocicleta,Motocicleta,No aplica,No aplica
05/05/2012 11:15:00 PM,05/05/2012 12:00:00 AM,sábado,1899-12-31T23:15:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,43,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
05/06/2012 02:28:00 PM,05/06/2012 12:00:00 AM,domingo,1899-12-31T14:28:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,38,Conductor Moto,Motocicleta,Microbus/Busetón,No aplica,No aplica
05/22/2012 12:17:00 PM,05/22/2012 12:00:00 AM,martes,1899-12-31T12:17:00.000,5,Municipal,Colisión con Objeto Móvil,Femenino,30,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
05/22/2012 12:17:00 PM,05/22/2012 12:00:00 AM,martes,1899-12-31T12:17:00.000,5,Municipal,Colisión con Objeto Móvil,Femenino,47,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
05/23/2012 08:00:00 PM,05/23/2012 12:00:00 AM,miércoles,1899-12-31T20:00:00.000,2,Municipal,Peatón Atropellado,Femenino,90,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
06/23/2012 06:35:00 AM,06/23/2012 12:00:00 AM,sábado,1899-12-31T06:35:00.000,1,Municipal,Colisión con Objeto Móvil,Masculino,27,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
06/23/2012 06:35:00 AM,06/23/2012 12:00:00 AM,sábado,1899-12-31T06:35:00.000,1,Municipal,Colisión con Objeto Móvil,Masculino,47,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
06/24/2012 12:00:00 AM,06/24/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,Ninguna,Municipal,Peatón Atropellado,Masculino,73,Peatón,Autónomo (Peatón),Camión/Camioneta,No aplica,No aplica
06/25/2012 09:30:00 PM,06/25/2012 12:00:00 AM,lunes,1899-12-31T21:30:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,44,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
07/01/2012 08:30:00 PM,07/01/2012 12:00:00 AM,domingo,1899-12-31T20:30:00.000,5,Municipal,Peatón Atropellado,Masculino,56,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
07/03/2012 10:50:00 AM,07/03/2012 12:00:00 AM,martes,1899-12-31T10:50:00.000,5,Municipal,Colisión con Objeto Móvil,Femenino,4,Pasajero Moto,Motocicleta,Motocicleta,No aplica,No aplica
07/15/2012 05:48:00 AM,07/15/2012 12:00:00 AM,domingo,1899-12-31T05:48:00.000,1,Municipal,Colisión con Objeto Fijo,Masculino,31,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
07/19/2012 12:50:00 PM,07/19/2012 12:00:00 AM,jueves,1899-12-31T12:50:00.000,5,Municipal,Peatón Atropellado,Masculino,84,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
07/30/2012 07:32:00 AM,07/30/2012 12:00:00 AM,lunes,1899-12-31T07:32:00.000,1,Municipal,Colisión con Objeto Móvil,Masculino,23,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
